606,3547,5.9,32,37
534,3280,6.1,39,48
364,2668,7.3,29,13
304,1955,6.4,15,23
671,3522,5.2,44,17
678,3221,4.9,24,15
560,2391,4.3,23,4
347,2213,6.4,13,7
54,247,4.6,4,0
910,3944,4.4,42,8
517,3226,6.2,35,8
698,3140,4.5,34,8
115,775,6.7,4,4
424,2317,5.5,32,0
572,3261,5.7,42,70
403,2162,5.3,30,1
556,2834,5.1,29,27
424,2557,6,23,5
545,2850,5.2,52,12
759,3685,4.9,50,70
306,1419,4.6,19,27
232,1652,7.1,20,5
578,3404,5.9,28,14
708,4181,5.9,37,12
646,3104,4.8,24,3
436,2338,5.4,19,30
311,1311,4.2,12,0
246,1262,5.1,8,0
788,3877,4.9,46,27
544,2860,5.3,30,31
686,3932,5.7,29,4
616,3179,5.2,31,5
267,1585,5.9,16,1
430,2401,5.6,17,1
546,3036,5.6,33,1
467,2501,5.4,27,1
116,1290,11.1,12,1
540,3130,5.8,35,18
617,3431,5.6,43,43
462,2662,5.8,18,5
545,3288,6,27,1
771,5082,6.6,53,2
573,3243,5.7,36,18
663,3570,5.4,53,10
335,1918,5.7,15,47
565,3315,5.9,40,17
396,2464,6.2,13,1
379,2157,5.7,29,5
733,3529,4.8,27,39
632,3298,5.2,30,1
592,2869,4.8,32,5
473,2592,5.5,34,0
104,476,4.6,3,10
462,2293,5,19,1
